	family	mt	order	xt
129	Propalticidae	1.2	Coleoptera	1.8
130	Throscidae	1.2	Coleoptera	6
131	Xenasteiidae	1.2	Diptera	2
132	Lygaeidae	1.2	Hemiptera	12
133	Mesoveliidae	1.2	Hemiptera	4.2
134	Plokiophilidae	1.2	Hemiptera	3
135	Archipsocidae	1.2	Psocoptera	1.8
136	Kateretidae	1.3	Coleoptera	6
137	Monotomidae	1.3	Coleoptera	5
138	Scraptiidae	1.3	Coleoptera	15
139	Poduridae	1.3	Collembola	2
140	Australimyzidae	1.3	Diptera	2.6
141	Hebridae	1.3	Hemiptera	3.7
142	Boopidae	1.3	Phthiraptera	3.14
143	Psyllipsocidae	1.3	Psocoptera	2
144	Chaoboridae	1.4	Diptera	10
145	Platypezidae	1.4	Diptera	10
146	Anthocoridae	1.4	Hemiptera	4.5
147	Pachytroctidae	1.4	Psocoptera	1.8
148	Troctopsocidae	1.4	Psocoptera	4.1
149	Aeolothripidae	1.4	Thysanoptera	2.6
150	Micromalthidae	1.5	Coleoptera	2.5
151	Lepiceridae	1.5	Coleoptera	2
152	Anthicidae	1.5	Coleoptera	15
153	Biphyllidae	1.5	Coleoptera	8
154	Bothrideridae	1.5	Coleoptera	13
155	Brachyceridae	1.5	Coleoptera	6
156	Buprestidae	1.5	Coleoptera	60
157	Byrrhidae	1.5	Coleoptera	10
158	Cantharidae	1.5	Coleoptera	30
159	Derodontidae	1.5	Coleoptera	4
160	Elateridae	1.5	Coleoptera	60
161	Eucnemidae	1.5	Coleoptera	40
162	Salpingidae	1.5	Coleoptera	12
163	Scirtidae	1.5	Coleoptera	12
164	Sphindidae	1.5	Coleoptera	3.5
165	Atelestidae	1.5	Diptera	4
166	Aulacigastridae	1.5	Diptera	4
167	Hippoboscidae	1.5	Diptera	12
168	Marginidae	1.5	Diptera	2
169	Neurochaetidae	1.5	Diptera	4.1
170	Nycteribiidae	1.5	Diptera	5.5
171	Prosopistomatidae	1.5	Ephemeroptera	4.5
172	Microphysidae	1.5	Hemiptera	3
173	Pleidae	1.5	Hemiptera	3
174	Figitidae	1.5	Hymenoptera	5
175	Perilampidae	1.5	Hymenoptera	7
176	Hydroptilidae	1.5	Trichoptera	4
177	Gerridae	1.6	Hemiptera	36
178	Ricinidae	1.6	Phthiraptera	5.5
179	Trogiidae	1.6	Psocoptera	2.5
180	Cicadellidae	1.7	Hemiptera	28
181	Paraphrynoveliidae	1.7	Hemiptera	2.4
182	Clusiidae	1.8	Diptera	7.5
183	Hilarimorphidae	1.8	Diptera	7.2
184	Leptopodidae	1.8	Hemiptera	7
185	Lachesillidae	1.8	Psocoptera	2.2
186	Haematomyzidae	1.9	Phthiraptera	3
187	Psilopsocidae	1.9	Psocoptera	3.2
188	Haliplidae	2	Coleoptera	6
189	Cerambycidae	2	Coleoptera	200
190	Ceratocanthidae	2	Coleoptera	9
191	Cleridae	2	Coleoptera	25
192	Dryopidae	2	Coleoptera	8
193	Helophoridae	2	Coleoptera	9
194	Hydrochidae	2	Coleoptera	4
