Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
ANSERIFORMES	Anatidae	Thalassornis leuconotus	Thalassornis leuconotus	0.0823	0.2929	5.1009	2	25
ANSERIFORMES	Anhimidae	Anhima cornuta	Anhima cornuta	0.0993	0.3519	8.5235	1	2
APODIFORMES	Apodidae	Aeronautes saxatalis	Aeronautes saxatalis	0.1541	0.5363	2.1030	16	64
APODIFORMES	Apodidae	Apus affinis	Apus affinis	0.1111	0.4018	2.0117	1	3
APODIFORMES	Apodidae	Apus apus	Apus apus	0.2508	0.5120	2.4391	1	2
APODIFORMES	Apodidae	Apus caffer	Apus caffer	0.1394	0.5508	2.2989	2	4
APODIFORMES	Apodidae	Chaetura pelagica	Chaetura pelagica	0.2267	0.5500	2.0201	6	25
APODIFORMES	Apodidae	Chaetura vauxi	Chaetura vauxi	0.1824	0.4851	1.8245	3	14
APODIFORMES	Apodidae	Aerodramus francica	Collocalia francica	0.1054	0.4604	1.7825	2	4
APODIFORMES	Apodidae	Cypseloides niger	Cypseloides niger	0.1486	0.5106	2.8579	9	9
APODIFORMES	Apodidae	Cypsiurus parvus	Cypsiurus parvus	0.1751	0.5481	1.7149	1	2
APODIFORMES	Hemiprocnidae	Hemiprocne longipennis	Hemiprocne longipennis	0.0332	0.2744	2.3502	2	2
APODIFORMES	Trochilidae	Archilochus alexandri	Archilochus alexandri	0.0297	0.4820	1.2666	26	49
APODIFORMES	Trochilidae	Archilochus colubris	Archilochus colubris	0.0339	0.4997	1.2779	8	16
APODIFORMES	Trochilidae	Calothorax lucifer	Calothorax lucifer	0.0054	0.4481	1.1960	1	2
APODIFORMES	Trochilidae	Calypte anna	Calypte anna	0.0400	0.4943	1.3079	21	36
APODIFORMES	Trochilidae	Calypte costae	Calypte costae	0.0356	0.4910	1.2079	18	32
APODIFORMES	Trochilidae	Hylocharis xantusii	Hylocharis xantusii	0.0295	0.5116	1.2105	7	12
APODIFORMES	Trochilidae	Lampornis clemenciae	Lampornis clemenciae	0.0831	0.4322	1.4547	1	2
APODIFORMES	Trochilidae	Oreotrochilus estella	Oreotrochilus estella	0.0261	0.5737	1.6823	4	4
APODIFORMES	Trochilidae	Selasphorus platycercus	Selasphorus platycercus	0.0179	0.4894	1.2814	4	5
APODIFORMES	Trochilidae	Selasphorus rufus	Selasphorus rufus	0.0330	0.4769	1.2875	4	7
APODIFORMES	Trochilidae	Selasphorus sasin	Selasphorus sasin	0.0337	0.4758	1.2624	39	69
APODIFORMES	Trochilidae	Stellula calliope	Stellula calliope	0.0304	0.4702	1.2026	10	18
APTERYGIFORMES	Apterygidae	Apteryx australis	Apteryx australis	0.0725	0.5877	11.1692	3	3
BUCEROTIFORMES	Upupidae	Upupa epops	Upupa epops	0.1240	0.4339	2.5969	1	5
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus affinis	Caprimulgus affinis	0.0325	0.3186	2.6778	1	1
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus asiaticus	Caprimulgus asiaticus	0.0773	0.4145	2.7789	2	4
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus carolinensis	Caprimulgus carolinensis	0.0641	0.3900	3.5650	13	26
CAPRIMULGIFORMES	Caprimulgidae	Scotornis climacurus	Caprimulgus climacurus	0.0868	0.4062	2.5094	1	1
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus europaeus	Caprimulgus europaeus	0.0632	0.3883	3.0569	4	7
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus indicus	Caprimulgus indicus	0.0508	0.3427	2.9594	2	4
