Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
PASSERIFORMES	Acanthizidae	Smicrornis brevirostris	Smicrornis brevirostris	0.0358	0.3207	1.4589	1	2
PASSERIFORMES	Acrocephalidae	Acrocephalus arundinaceus	Acrocephalus arundinaceus	0.1620	0.4227	2.2170	4	20
PASSERIFORMES	Acrocephalidae	Acrocephalus gracilirostris	Acrocephalus gracilirostris	0.2023	0.4091	1.9273	1	2
PASSERIFORMES	Acrocephalidae	Acrocephalus palustris	Acrocephalus palustris	0.1421	0.3781	1.8426	1	5
PASSERIFORMES	Acrocephalidae	Acrocephalus schoenobaenus	Acrocephalus schoenobaenus	0.1587	0.3662	1.7430	3	13
PASSERIFORMES	Acrocephalidae	Acrocephalus scirpaceus	Acrocephalus scirpaceus	0.1280	0.3826	1.8031	1	5
PASSERIFORMES	Acrocephalidae	Hippolais icterina	Hippolais icterina	0.1936	0.4469	1.8936	2	11
PASSERIFORMES	Acrocephalidae	Hippolais polyglotta	Hippolais polyglotta	0.1129	0.3755	1.8011	2	8
PASSERIFORMES	Aegithalidae	Aegithalos caudatus	Aegithalos caudatus	0.1346	0.3397	1.4509	2	9
PASSERIFORMES	Aegithalidae	Psaltriparus minimus	Psaltriparus minimus	0.1439	0.3437	1.3706	60	367
PASSERIFORMES	Alaudidae	Alauda arvensis	Alauda arvensis	0.2211	0.4560	2.3513	10	34
PASSERIFORMES	Alaudidae	Ammomanes deserti	Ammomanes deserti	0.2053	0.4100	2.2884	1	4
PASSERIFORMES	Alaudidae	Ammomanes phoenicurus	Ammomanes phoenicura	0.1545	0.4350	2.1175	1	3
PASSERIFORMES	Alaudidae	Calandrella cinerea	Calandrella cinerea	0.1729	0.3997	2.0308	8	20
PASSERIFORMES	Alaudidae	Certhilauda curvirostris	Certhilauda curvirostris	0.1766	0.4284	2.4522	1	2
PASSERIFORMES	Alaudidae	Certhilauda albofasciata	Chersomanes albofasciata	0.1778	0.4927	2.1009	2	5
PASSERIFORMES	Alaudidae	Eremophila alpestris	Eremophila alpestris	0.1542	0.3826	2.1190	69	232
PASSERIFORMES	Alaudidae	Galerida cristata	Galerida cristata	0.1753	0.4578	2.2639	1	5
PASSERIFORMES	Alaudidae	Galerida magnirostris	Galerida magnirostris	0.1655	0.4205	2.3200	2	5
PASSERIFORMES	Alaudidae	Lullula arborea	Lullula arborea	0.1439	0.3748	2.2050	2	8
PASSERIFORMES	Alaudidae	Melanocorypha mongolica	Melanocorypha mongolica	0.1910	0.3769	2.3418	1	5
PASSERIFORMES	Alaudidae	Mirafra africana	Mirafra africana	0.1597	0.4312	2.1997	1	3
PASSERIFORMES	Alaudidae	Mirafra javanica	Mirafra javanica	0.1144	0.2895	1.9523	4	12
PASSERIFORMES	Artamidae	Artamus cyanopterus	Artamus cyanopterus	0.1885	0.3642	2.2028	2	6
PASSERIFORMES	Artamidae	Artamus leucorhynchus	Artamus leucorynchus	0.2306	0.4063	2.3824	3	8
PASSERIFORMES	Artamidae	Artamus personatus	Artamus personatus	0.0549	0.3489	2.1846	1	2
PASSERIFORMES	Artamidae	Artamus superciliosus	Artamus superciliosus	0.2285	0.3471	2.2885	1	2
PASSERIFORMES	Artamidae	Cracticus nigrogularis	Cracticus nigrogularis	0.2424	0.4286	3.5144	1	3
PASSERIFORMES	Artamidae	Cracticus torquatus	Cracticus torquatus	0.2036	0.3818	2.9960	2	5
PASSERIFORMES	Artamidae	Gymnorhina tibicen	Gymnorhina tibicen	0.2389	0.4477	3.7465	1	4
PASSERIFORMES	Bombycillidae	Bombycilla cedrorum	Bombycilla cedrorum	0.2171	0.4217	2.1740	19	80
PASSERIFORMES	Bombycillidae	Bombycilla garrulus	Bombycilla garrulus	0.2111	0.4330	2.4754	7	31
PASSERIFORMES	Calcariidae	Calcarius lapponicus	Calcarius lapponicus	0.1631	0.3921	2.0766	16	73
PASSERIFORMES	Calcariidae	Calcarius mccownii	Calcarius mccownii	0.1233	0.3907	1.9468	2	9
PASSERIFORMES	Calcariidae	Calcarius ornatus	Calcarius ornatus	0.1607	0.3332	1.8358	6	25
PASSERIFORMES	Calcariidae	Plectrophenax nivalis	Plectrophenax nivalis	0.1972	0.4048	2.2715	16	79
PASSERIFORMES	Cardinalidae	Cardinalis cardinalis	Cardinalis cardinalis	0.1430	0.3801	2.4691	50	162
PASSERIFORMES	Cardinalidae	Cardinalis sinuatus	Cardinalis sinuatus	0.1227	0.3805	2.4080	10	33
PASSERIFORMES	Cardinalidae	Passerina brissonii	Cyanocompsa brissonii	0.1841	0.4866	2.3780	1	3
PASSERIFORMES	Cardinalidae	Cyanocompsa cyanoides	Cyanocompsa cyanoides	0.1122	0.3177	2.1666	1	3
PASSERIFORMES	Cardinalidae	Passerina amoena	Passerina amoena	0.1469	0.3585	1.8495	22	72
PASSERIFORMES	Cardinalidae	Passerina caerulea	Passerina caerulea	0.1219	0.3402	2.1991	12	42
PASSERIFORMES	Cardinalidae	Passerina ciris	Passerina ciris	0.1147	0.3236	1.8900	13	48
PASSERIFORMES	Cardinalidae	Passerina cyanea	Passerina cyanea	0.1276	0.3557	1.8907	12	46
PASSERIFORMES	Cardinalidae	Passerina versicolor	Passerina versicolor	0.1060	0.3624	2.0426	1	2
PASSERIFORMES	Cardinalidae	Pheucticus ludovicianus	Pheucticus ludovicianus	0.1679	0.3798	2.4202	10	34
PASSERIFORMES	Cardinalidae	Pheucticus melanocephalus	Pheucticus melanocephalus	0.1711	0.4088	2.4534	62	198
PASSERIFORMES	Cardinalidae	Piranga flava	Piranga flava	0.1375	0.3591	2.4258	3	10
PASSERIFORMES	Cardinalidae	Piranga ludoviciana	Piranga ludoviciana	0.1466	0.3679	2.2365	11	42
PASSERIFORMES	Cardinalidae	Piranga olivacea	Piranga olivacea	0.1854	0.3838	2.2215	6	22
PASSERIFORMES	Cardinalidae	Piranga rubra	Piranga rubra	0.1744	0.3748	2.2639	7	25
PASSERIFORMES	Cardinalidae	Spiza americana	Spiza americana	0.1201	0.3225	2.0649	9	43
PASSERIFORMES	Certhiidae	Certhia americana	Certhia americana	0.1473	0.3448	1.5356	24	121
PASSERIFORMES	Certhiidae	Certhia familiaris	Certhia familiaris	0.1580	0.3432	1.6600	1	6
PASSERIFORMES	Cinclidae	Cinclus cinclus	Cinclus cinclus	0.2819	0.4683	2.5986	4	18
PASSERIFORMES	Cinclidae	Cinclus mexicanus	Cinclus mexicanus	0.1994	0.3720	2.4382	13	48
PASSERIFORMES	Cisticolidae	Prinia jacksoni	Apalis jacksoni	0.2120	0.3568	2.0954	1	1
PASSERIFORMES	Cisticolidae	Camaroptera brevicaudata	Camaroptera brachyura	0.1420	0.4558	1.6924	3	9
PASSERIFORMES	Cisticolidae	Cisticola brunnescens	Cisticola brunnescens	0.0908	0.3686	1.6410	1	3
PASSERIFORMES	Cisticolidae	Cisticola cantans	Cisticola cantans	0.1348	0.3895	1.7528	2	6
PASSERIFORMES	Cisticolidae	Cisticola chiniana	Cisticola chiniana	0.1357	0.4033	1.7603	1	3
PASSERIFORMES	Cisticolidae	Cisticola exilis	Cisticola exilis	0.1143	0.3573	1.5359	2	5
PASSERIFORMES	Cisticolidae	Cisticola fulvicapilla	Cisticola fulvicapilla	0.1104	0.3528	1.5050	1	4
PASSERIFORMES	Cisticolidae	Cisticola galactotes	Cisticola galactotes	0.1190	0.3462	1.6457	3	9
PASSERIFORMES	Cisticolidae	Cisticola juncidis	Cisticola juncidis	0.0871	0.3170	1.5199	3	12
PASSERIFORMES	Cisticolidae	Cisticola lais	Cisticola lais	0.1135	0.3617	1.6649	2	8
PASSERIFORMES	Cisticolidae	Cisticola robusta	Cisticola robustus	0.0808	0.3803	1.8752	2	8
PASSERIFORMES	Cisticolidae	Cisticola subruficapilla	Cisticola subruficapilla	0.0653	0.2749	1.5853	1	4
PASSERIFORMES	Cisticolidae	Cisticola tinniens	Cisticola tinniens	0.0898	0.3088	1.5466	1	3
PASSERIFORMES	Cisticolidae	Prinia pectoralis	Malcorus pectoralis	0.1207	0.4135	1.5905	1	4
PASSERIFORMES	Cisticolidae	Orthotomus atrogularis	Orthotomus atrogularis	0.1691	0.3792	1.5346	2	7
PASSERIFORMES	Cisticolidae	Orthotomus sutorius	Orthotomus sutorius	0.1420	0.4046	1.5357	4	14
PASSERIFORMES	Cisticolidae	Prinia atrogularis	Prinia atrogularis	0.0989	0.3642	1.6939	15	48
PASSERIFORMES	Cisticolidae	Prinia criniger	Prinia crinigera	0.0733	0.3547	1.7001	15	52
PASSERIFORMES	Cisticolidae	Prinia familiaris	Prinia familiaris	0.1376	0.3981	1.6887	1	3
PASSERIFORMES	Cisticolidae	Prinia flaviventris	Prinia flaviventris	0.1430	0.4219	1.7958	2	7
PASSERIFORMES	Cisticolidae	Prinia gracilis	Prinia gracilis	0.1353	0.3619	1.4590	11	32
PASSERIFORMES	Cisticolidae	Prinia inornata	Prinia inornata	0.1278	0.4062	1.5425	6	26
PASSERIFORMES	Cisticolidae	Prinia maculosa	Prinia maculosa	0.1548	0.4481	1.6263	5	18
PASSERIFORMES	Cisticolidae	Prinia rufescens	Prinia rufescens	0.1218	0.3783	1.6174	2	7
PASSERIFORMES	Cisticolidae	Prinia subflava	Prinia subflava	0.1113	0.3148	1.4874	3	9
PASSERIFORMES	Cisticolidae	Prinia sylvatica	Prinia sylvatica	0.1187	0.3965	1.7504	2	8
PASSERIFORMES	Corvidae	Aphelocoma californica	Aphelocoma californica	0.1543	0.3680	2.7549	106	442
PASSERIFORMES	Corvidae	Aphelocoma coerulescens	Aphelocoma coerulescens	0.1308	0.3539	2.7326	3	10
PASSERIFORMES	Corvidae	Aphelocoma ultramarina	Aphelocoma ultramarina	0.1651	0.3855	2.9762	15	59
PASSERIFORMES	Corvidae	Cissa chinensis	Cissa chinensis	0.2129	0.4065	3.1803	1	5
PASSERIFORMES	Corvidae	Corvus bennetti	Corvus bennetti	0.1435	0.4232	4.2541	1	2
PASSERIFORMES	Corvidae	Corvus brachyrhynchos	Corvus brachyrhynchos	0.2216	0.4426	4.1272	72	295
PASSERIFORMES	Corvidae	Corvus corax	Corvus corax	0.2355	0.5033	4.7772	38	179
PASSERIFORMES	Corvidae	Corvus corone	Corvus corone	0.2035	0.4238	4.2014	8	39
PASSERIFORMES	Corvidae	Corvus cryptoleucus	Corvus cryptoleucus	0.2260	0.4929	4.3915	27	147
PASSERIFORMES	Corvidae	Corvus frugilegus	Corvus frugilegus	0.1873	0.3837	3.8002	8	32
PASSERIFORMES	Corvidae	Corvus macrorhynchos	Corvus macrorhynchos	0.2249	0.4454	4.1426	5	18
PASSERIFORMES	Corvidae	Corvus monedula	Corvus monedula	0.1898	0.4273	3.3777	4	23
PASSERIFORMES	Corvidae	Corvus ossifragus	Corvus ossifragus	0.1815	0.3844	3.6580	9	40
PASSERIFORMES	Corvidae	Cyanocitta cristata	Cyanocitta cristata	0.1406	0.3804	2.8110	41	180
PASSERIFORMES	Corvidae	Cyanocitta stelleri	Cyanocitta stelleri	0.1744	0.3995	3.0402	35	128
PASSERIFORMES	Corvidae	Psilorhinus morio	Cyanocorax morio	0.2700	0.5563	3.6010	2	10
PASSERIFORMES	Corvidae	Cyanocorax yncas	Cyanocorax yncas	0.2054	0.3812	2.7679	3	11
PASSERIFORMES	Corvidae	Cyanopica cyana	Cyanopica cyanus	0.1938	0.3483	2.6981	5	30
PASSERIFORMES	Corvidae	Garrulus glandarius	Garrulus glandarius	0.1704	0.4179	3.2388	5	24
PASSERIFORMES	Corvidae	Gymnorhinus cyanocephalus	Gymnorhinus cyanocephalus	0.1783	0.4113	2.9728	5	22
PASSERIFORMES	Corvidae	Nucifraga caryocatactes	Nucifraga caryocatactes	0.1105	0.4458	3.4690	1	2
PASSERIFORMES	Corvidae	Nucifraga columbiana	Nucifraga columbiana	0.1346	0.3861	3.1849	1	1
PASSERIFORMES	Corvidae	Perisoreus canadensis	Perisoreus canadensis	0.2373	0.4658	3.0132	1	4
PASSERIFORMES	Corvidae	Perisoreus infaustus	Perisoreus infaustus	0.1929	0.4492	3.0891	1	4
PASSERIFORMES	Corvidae	Pica hudsonia	Pica hudsonia	0.1770	0.4140	3.5341	23	153
PASSERIFORMES	Corvidae	Pica nuttalli	Pica nuttalli	0.1631	0.4134	3.4630	55	350
PASSERIFORMES	Corvidae	Pica pica	Pica pica	0.1739	0.4544	3.4812	12	71
PASSERIFORMES	Cotingidae	Phytotoma rutila	Phytotoma rutila	0.1882	0.3806	2.2906	2	5
PASSERIFORMES	Cotingidae	Pipreola riefferii	Pipreola riefferii	0.1951	0.2844	2.5619	1	2
PASSERIFORMES	Dicaeidae	Dicaeum pectorale	Dicaeum pectorale	0.2575	0.4617	1.6541	1	2
PASSERIFORMES	Dicruridae	Dicrurus adsimilis	Dicrurus adsimilis	0.1598	0.3904	2.3682	1	3
PASSERIFORMES	Dicruridae	Dicrurus aeneus	Dicrurus aeneus	0.2119	0.3127	1.9591	1	3
PASSERIFORMES	Dicruridae	Dicrurus hottentottus	Dicrurus hottentottus	0.1705	0.3634	2.5998	4	15
PASSERIFORMES	Dicruridae	Dicrurus leucophaeus	Dicrurus leucophaeus	0.1497	0.3577	2.4375	8	26
PASSERIFORMES	Dicruridae	Dicrurus macrocercus	Dicrurus macrocercus	0.1592	0.3502	2.4771	5	19
PASSERIFORMES	Dicruridae	Dicrurus remifer	Dicrurus remifer	0.2034	0.3941	2.3763	1	3
PASSERIFORMES	Emberizidae	Emberiza cioides	Emberiza cioides	0.1078	0.2593	1.9545	2	9
PASSERIFORMES	Emberizidae	Emberiza cirlus	Emberiza cirlus	0.1237	0.3092	2.0214	1	4
PASSERIFORMES	Emberizidae	Emberiza citrinella	Emberiza citrinella	0.1392	0.3311	2.0694	12	47
PASSERIFORMES	Emberizidae	Emberiza flaviventris	Emberiza flaviventris	0.2113	0.4382	1.9875	2	6
PASSERIFORMES	Emberizidae	Emberiza fucata	Emberiza fucata	0.1161	0.2680	2.0565	1	4
PASSERIFORMES	Emberizidae	Emberiza impetuani	Emberiza impetuani	0.1519	0.3773	1.8021	2	6
PASSERIFORMES	Emberizidae	Emberiza pusilla	Emberiza pusilla	0.0661	0.3489	2.1656	2	7
PASSERIFORMES	Emberizidae	Emberiza schoeniclus	Emberiza schoeniclus	0.1758	0.3581	1.9238	6	28
PASSERIFORMES	Emberizidae	Emberiza spodocephala	Emberiza spodocephala	0.1356	0.3123	1.8190	4	17
PASSERIFORMES	Emberizidae	Emberiza calandra	Miliaria calandra	0.1949	0.4509	2.4385	4	17
PASSERIFORMES	Estrildidae	Amadina erythrocephala	Amadina erythrocephala	0.0614	0.2534	1.9096	1	6
PASSERIFORMES	Estrildidae	Estrilda astrild	Estrilda astrild	0.0731	0.3420	1.3861	3	18
PASSERIFORMES	Estrildidae	Estrilda nonnula	Estrilda nonnula	0.0560	0.3341	1.3994	1	2
PASSERIFORMES	Estrildidae	Lagonosticta senegala	Lagonosticta senegala	0.0365	0.2272	1.3568	1	3
PASSERIFORMES	Estrildidae	Lonchura atricapilla	Lonchura atricapilla	0.0901	0.3523	1.5823	5	19
PASSERIFORMES	Estrildidae	Lonchura cucullata	Lonchura cucullata	0.0925	0.3946	1.4426	2	9
PASSERIFORMES	Estrildidae	Lonchura maja	Lonchura maja	0.0446	0.3013	1.4134	2	6
PASSERIFORMES	Estrildidae	Lonchura malacca	Lonchura malacca	0.0567	0.3050	1.4423	2	14
PASSERIFORMES	Estrildidae	Lonchura punctulata	Lonchura punctulata	0.0925	0.3980	1.5213	6	31
PASSERIFORMES	Estrildidae	Lonchura striata	Lonchura striata	0.0997	0.3503	1.4820	1	3
PASSERIFORMES	Estrildidae	Ortygospiza atricollis	Ortygospiza atricollis	0.1170	0.2665	1.4965	1	4
PASSERIFORMES	Estrildidae	Padda oryzivora	Padda oryzivora	0.1001	0.3887	1.8818	1	8
PASSERIFORMES	Eurylaimidae	Cymbirhynchus macrorhynchos	Cymbirhynchus macrorhynchos	0.2198	0.4143	2.7104	1	3
PASSERIFORMES	Eurylaimidae	Psarisomus dalhousiae	Psarisomus dalhousiae	0.2044	0.4284	2.6502	6	33
PASSERIFORMES	Eurylaimidae	Serilophus lunatus	Serilophus lunatus	0.1622	0.3144	2.2538	2	7
PASSERIFORMES	Fringillidae	Carduelis cannabina	Carduelis cannabina	0.1452	0.3894	1.8298	6	27
PASSERIFORMES	Fringillidae	Carduelis chloris	Carduelis chloris	0.1502	0.3648	1.9337	10	44
PASSERIFORMES	Fringillidae	Carduelis cabaret	Carduelis flammea	0.1282	0.3297	1.5749	5	22
PASSERIFORMES	Fringillidae	Carduelis flammea	Carduelis flammea1	0.1494	0.3395	1.6882	4	17
PASSERIFORMES	Fringillidae	Carduelis flavirostris	Carduelis flavirostris	0.1381	0.3563	1.7193	2	9
PASSERIFORMES	Fringillidae	Carduelis hornemanni	Carduelis hornemanni	0.1509	0.3651	1.6659	4	14
PASSERIFORMES	Fringillidae	Carduelis lawrencei	Carduelis lawrencei	0.0939	0.2700	1.4616	6	26
PASSERIFORMES	Fringillidae	Carduelis pinus	Carduelis pinus	0.1645	0.3655	1.6689	18	67
PASSERIFORMES	Fringillidae	Carduelis psaltria	Carduelis psaltria	0.1398	0.3251	1.5289	35	132
PASSERIFORMES	Fringillidae	Carduelis spinus	Carduelis spinus	0.1488	0.3408	1.6882	1	5
PASSERIFORMES	Fringillidae	Carduelis tristis	Carduelis tristis	0.1468	0.3148	1.6018	35	164
PASSERIFORMES	Fringillidae	Carpodacus cassinii	Carpodacus cassinii	0.1847	0.3656	2.0182	9	35
PASSERIFORMES	Fringillidae	Carpodacus erythrinus	Carpodacus erythrinus	0.2141	0.4863	2.1700	3	10
PASSERIFORMES	Fringillidae	Carpodacus mexicanus	Carpodacus mexicanus	0.1689	0.3760	1.9210	111	503
PASSERIFORMES	Fringillidae	Carpodacus purpureus	Carpodacus purpureus	0.1937	0.3757	1.9576	12	46
PASSERIFORMES	Fringillidae	Coccothraustes coccothraustes	Coccothraustes coccothraustes	0.1872	0.4567	2.4508	4	20
PASSERIFORMES	Fringillidae	Coccothraustes vespertinus	Coccothraustes vespertinus	0.2016	0.4608	2.4960	1	3
PASSERIFORMES	Fringillidae	Fringilla coelebs	Fringilla coelebs	0.1515	0.3532	1.9394	8	34
PASSERIFORMES	Fringillidae	Fringilla montifringilla	Fringilla montifringilla	0.2204	0.3594	1.9553	3	17
PASSERIFORMES	Fringillidae	Hemignathus virens	Hemignathus virens	0.1375	0.3124	1.7428	1	1
PASSERIFORMES	Fringillidae	Leucosticte tephrocotis	Leucosticte tephrocotis	0.1967	0.3707	2.3058	5	21
PASSERIFORMES	Fringillidae	Loxia curvirostra	Loxia curvirostra	0.1681	0.4001	2.1880	3	10
PASSERIFORMES	Fringillidae	Pinicola enucleator	Pinicola enucleator	0.2019	0.4747	2.5593	7	26
PASSERIFORMES	Fringillidae	Pyrrhula pyrrhula	Pyrrhula pyrrhula	0.1621	0.4149	2.0049	5	22
PASSERIFORMES	Fringillidae	Serinus alario	Serinus alario	0.1443	0.4671	1.7192	1	3
PASSERIFORMES	Fringillidae	Serinus albogularis	Serinus albogularis	0.1262	0.3713	1.9899	2	9
PASSERIFORMES	Fringillidae	Serinus canaria	Serinus canaria	0.1442	0.3424	1.7865	3	11
PASSERIFORMES	Fringillidae	Serinus canicollis	Serinus canicollis	0.1523	0.4253	1.8642	1	4
PASSERIFORMES	Fringillidae	Serinus flaviventris	Serinus flaviventris	0.1582	0.3623	1.7469	1	4
PASSERIFORMES	Fringillidae	Serinus gularis	Serinus gularis	0.1475	0.3363	1.8314	1	3
PASSERIFORMES	Fringillidae	Serinus mozambicus	Serinus mozambicus	0.1059	0.3872	1.7358	3	10
PASSERIFORMES	Fringillidae	Serinus striolatus	Serinus striolatus	0.1403	0.4180	2.0094	2	6
PASSERIFORMES	Fringillidae	Serinus sulphuratus	Serinus sulphuratus	0.1442	0.3845	1.9867	2	6
PASSERIFORMES	Fringillidae	Telespiza cantans	Telespiza cantans	0.1605	0.3724	1.9485	1	3
PASSERIFORMES	Furnariidae	Thripophaga pyrrholeuca	Asthenes pyrrholeuca	0.1079	0.4011	2.1152	1	3
PASSERIFORMES	Furnariidae	Certhiaxis cinnamomea	Certhiaxis cinnamomeus	0.0990	0.3122	1.9189	2	9
PASSERIFORMES	Furnariidae	Certhiaxis pyrrhophia	Cranioleuca pyrrhophia	0.1198	0.3176	1.9131	1	2
PASSERIFORMES	Furnariidae	Furnarius cristatus	Furnarius cristatus	0.1321	0.4341	2.3335	1	2
PASSERIFORMES	Furnariidae	Furnarius rufus	Furnarius rufus	0.1299	0.4090	2.8403	2	6
PASSERIFORMES	Furnariidae	Phacellodomus rufifrons	Phacellodomus rufifrons	0.1723	0.2881	2.1564	1	2
PASSERIFORMES	Furnariidae	Pseudoseisura lophotes	Pseudoseisura lophotes	0.0728	0.3396	2.6069	1	2
PASSERIFORMES	Furnariidae	Synallaxis albescens	Synallaxis albescens	0.1249	0.3244	1.9526	2	10
PASSERIFORMES	Furnariidae	Synallaxis superciliosa	Synallaxis azarae	0.1164	0.3228	1.9577	3	9
PASSERIFORMES	Furnariidae	Synallaxis azarae	Synallaxis azarae1	0.1285	0.2790	1.9584	2	3
PASSERIFORMES	Furnariidae	Synallaxis brachyura	Synallaxis brachyura	0.1418	0.2773	2.0415	1	2
PASSERIFORMES	Furnariidae	Synallaxis erythrothorax	Synallaxis erythrothorax	0.0854	0.3046	1.9907	1	2
PASSERIFORMES	Furnariidae	Synallaxis frontalis	Synallaxis frontalis	0.1271	0.3396	2.0489	2	7
PASSERIFORMES	Furnariidae	Synallaxis spixi	Synallaxis spixi	0.0822	0.2318	1.8900	1	2
PASSERIFORMES	Furnariidae	Upucerthia certhioides	Tarphonomus certhioides	0.1544	0.3074	2.3704	1	2
PASSERIFORMES	Hirundinidae	Delichon urbica	Delichon urbicum	0.2503	0.5050	1.9630	4	17
PASSERIFORMES	Hirundinidae	Cecropis abyssinica	Hirundo abyssinica	0.1737	0.4566	1.9351	2	6
PASSERIFORMES	Hirundinidae	Hirundo albigularis	Hirundo albigularis	0.2666	0.4417	1.9846	3	9
PASSERIFORMES	Hirundinidae	Hirundo angolensis	Hirundo angolensis	0.2114	0.3645	1.9571	1	3
PASSERIFORMES	Hirundinidae	Cecropis daurica	Hirundo daurica	0.1132	0.4513	2.1730	1	4
PASSERIFORMES	Hirundinidae	Hirundo nigrita	Hirundo nigrita	0.1649	0.3739	1.7749	2	6
PASSERIFORMES	Hirundinidae	Hirundo rustica	Hirundo rustica	0.2226	0.4358	1.9450	45	194
PASSERIFORMES	Hirundinidae	Cecropis senegalensis	Hirundo senegalensis	0.1731	0.5746	2.4315	1	3
PASSERIFORMES	Hirundinidae	Petrochelidon spilodera	Hirundo spilodera	0.2664	0.5255	2.1195	2	6
PASSERIFORMES	Hirundinidae	Petrochelidon pyrrhonota	Petrochelidon pyrrhonota	0.2246	0.4587	2.0354	71	281
PASSERIFORMES	Hirundinidae	Progne subis	Progne subis	0.2139	0.4357	2.4726	14	65
PASSERIFORMES	Hirundinidae	Riparia paludicola	Riparia paludicola	0.1148	0.3981	1.6637	2	7
PASSERIFORMES	Hirundinidae	Riparia riparia	Riparia riparia	0.1865	0.4022	1.7483	27	123
PASSERIFORMES	Hirundinidae	Stelgidopteryx ruficollis	Stelgidopteryx ruficollis	0.1936	0.4416	1.8540	17	89
PASSERIFORMES	Hirundinidae	Tachycineta bicolor	Tachycineta bicolor	0.1827	0.4392	1.8604	36	186
PASSERIFORMES	Hirundinidae	Tachycineta thalassina	Tachycineta thalassina	0.1920	0.4426	1.8560	10	47
PASSERIFORMES	Icteridae	Agelaius humeralis	Agelaius humeralis	0.2727	0.6262	2.7239	2	6
PASSERIFORMES	Icteridae	Agelaius phoeniceus	Agelaius phoeniceus	0.1485	0.4083	2.4647	300	1139
PASSERIFORMES	Icteridae	Agelaius tricolor	Agelaius tricolor	0.1648	0.4156	2.4590	63	226
PASSERIFORMES	Icteridae	Agelaius ruficapillus	Chrysomus ruficapillus	0.1427	0.4099	2.3028	3	9
PASSERIFORMES	Icteridae	Dolichonyx oryzivorus	Dolichonyx oryzivorus	0.1575	0.3635	2.1076	12	61
PASSERIFORMES	Icteridae	Euphagus carolinus	Euphagus carolinus	0.1566	0.4086	2.6446	5	26
PASSERIFORMES	Icteridae	Euphagus cyanocephalus	Euphagus cyanocephalus	0.1331	0.3878	2.5651	217	1026
PASSERIFORMES	Icteridae	Icteria virens	Icteria virens	0.1195	0.3247	2.2062	37	145
PASSERIFORMES	Icteridae	Icterus bullockii	Icterus bullockii	0.1856	0.4702	2.3285	36	161
PASSERIFORMES	Icteridae	Icterus cucullatus	Icterus cucullatus	0.2071	0.4764	2.2748	24	88
PASSERIFORMES	Icteridae	Icterus galbula	Icterus galbula	0.2040	0.4651	2.3117	10	40
PASSERIFORMES	Icteridae	Icterus parisorum	Icterus parisorum	0.1870	0.4119	2.4097	9	29
PASSERIFORMES	Icteridae	Icterus spurius	Icterus spurius	0.1575	0.4094	2.0218	18	81
PASSERIFORMES	Icteridae	Icterus wagleri	Icterus wagleri	0.2323	0.5757	2.7862	1	3
PASSERIFORMES	Icteridae	Quiscalus lugubris	Quiscalus lugubris	0.1605	0.4609	2.6941	3	6
PASSERIFORMES	Icteridae	Quiscalus major	Quiscalus major	0.1999	0.4674	3.2000	10	29
PASSERIFORMES	Icteridae	Quiscalus mexicanus	Quiscalus mexicanus	0.2029	0.4940	3.2526	25	87
PASSERIFORMES	Icteridae	Quiscalus quiscula	Quiscalus quiscula	0.1628	0.3893	2.9031	31	142
PASSERIFORMES	Icteridae	Sturnella magna	Sturnella magna	0.1398	0.3714	2.8468	25	115
PASSERIFORMES	Icteridae	Pezites militaris	Sturnella militaris	0.1292	0.4356	3.0815	1	4
PASSERIFORMES	Icteridae	Sturnella neglecta	Sturnella neglecta	0.1351	0.3829	2.8417	53	246
PASSERIFORMES	Icteridae	Xanthocephalus xanthocephalus	Xanthocephalus xanthocephalus	0.1766	0.4655	2.6237	83	317
PASSERIFORMES	Laniidae	Lanius bucephalus	Lanius bucephalus	0.1519	0.4161	2.5546	1	3
PASSERIFORMES	Laniidae	Lanius collaris	Lanius collaris	0.1638	0.3378	2.3212	8	29
PASSERIFORMES	Laniidae	Lanius collurio	Lanius collurio	0.1618	0.3788	2.2564	3	16
PASSERIFORMES	Laniidae	Lanius cristatus	Lanius cristatus	0.1606	0.3591	2.2539	8	41
PASSERIFORMES	Laniidae	Lanius excubitoroides	Lanius excubitoroides	0.1849	0.3074	2.4652	1	3
PASSERIFORMES	Laniidae	Lanius ludovicianus	Lanius ludovicianus	0.1688	0.3458	2.4418	117	615
PASSERIFORMES	Laniidae	Lanius schach	Lanius schach	0.1208	0.2925	2.2342	18	69
PASSERIFORMES	Laniidae	Lanius tigrinus	Lanius tigrinus	0.1616	0.3508	2.1702	1	2
PASSERIFORMES	Laniidae	Lanius vittatus	Lanius vittatus	0.1223	0.2972	1.9922	2	8
PASSERIFORMES	Laniidae	Corvinella melanoleuca	Urolestes melanoleucus	0.1671	0.3882	2.7232	1	4
PASSERIFORMES	Leiotrichidae	Actinodura egertoni	Actinodura egertoni	0.1386	0.3557	2.3600	2	6
PASSERIFORMES	Leiotrichidae	Alcippe nipalensis	Alcippe nipalensis	0.1526	0.3144	1.8119	4	16
PASSERIFORMES	Leiotrichidae	Garrulax delesserti	Garrulax delesserti	0.0812	0.3107	2.7292	2	5
PASSERIFORMES	Leiotrichidae	Garrulax erythrocephalus	Garrulax erythrocephalus	0.1745	0.3924	2.9084	2	5
