in_egg_database	name	rank	order	genus	species	family	migratory	reference
TRUE	Catocala_sponsa	species	Lepidoptera	Catocala	sponsa	Noctuidae	TRUE	stancua2016migratory
FALSE	Choristoneura_murinana	species	Lepidoptera	Choristoneura	murinana	Tortricidae	TRUE	dutchmigratory
FALSE	Chrysodeixis_chalcites	species	Lepidoptera	Chrysodeixis	chalcites	Noctuidae	TRUE	dutchmigratory
FALSE	Chrysodeixis_includens	species	Lepidoptera	Chrysodeixis	includens	Noctuidae	TRUE	texasento_migratory
FALSE	Clypeorrhyncha_fabae	species	Hemiptera	Clypeorrhyncha	fabae	Cicadellidae	TRUE	texasento_migratory
FALSE	Clypeorrhyncha_fascifrons	species	Hemiptera	Clypeorrhyncha	fascifrons	Cicadellidae	TRUE	texasento_migratory
FALSE	Clypeorrhyncha_tenellus	species	Hemiptera	Clypeorrhyncha	tenellus	Cicadellidae	TRUE	texasento_migratory
TRUE	Colias_croceus	species	Lepidoptera	Colias	croceus	Pieridae	TRUE	dutchmigratory
TRUE	Colias_hyale	species	Lepidoptera	Colias	hyale	Pieridae	TRUE	dutchmigratory
TRUE	Colias_sareptensis	species	Lepidoptera	Colias	sareptensis	Pieridae	TRUE	dutchmigratory
TRUE	Conistra_erythrocephala	species	Lepidoptera	Conistra	erythrocephala	Noctuidae	TRUE	sparks2007increased
FALSE	Costaconvexa_polygrammata	species	Lepidoptera	Costaconvexa	polygrammata	Geometridae	TRUE	sparks2007increased
FALSE	Crombrugghia_laetus	species	Lepidoptera	Crombrugghia	laetus	Pterophoridae	TRUE	sparks2007increased
FALSE	Cyclophora_punctaria	species	Lepidoptera	Cyclophora	punctaria	Geometridae	TRUE	stancua2016migratory
FALSE	Cyclophora_puppillaria	species	Lepidoptera	Cyclophora	puppillaria	Geometridae	TRUE	dutchmigratory
FALSE	Cydia_amplana	species	Lepidoptera	Cydia	amplana	Tortricidae	TRUE	sparks2007increased
