in_egg_database	name	rank	order	semiaquatic_riparian	in_water	combined	references	handbook_of_zoology_vol_1_3	williams1992aquatic	wichard2002biological	jach1998annotated	JohannsenOAOskarAugustus1934Ad	additional_notes										
FALSE	Epantius	genus	Coleoptera	SOME	FALSE	SOME	jach1998annotated				riparian		some										
TRUE	Ephemeroptera	order	Ephemeroptera	FALSE	TRUE	TRUE	csiro1991insects						in water										
TRUE	Ephydra	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Epimetopidae	family	Coleoptera	SOME	SOME	SOME	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	adults carry egg cases terrestrially, riparian			true water beetles												
TRUE	Erichsonius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Erirhinus	genus	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	eggs laid in stems of aquatic plants			phytophilous												
TRUE	Eristalinae	subfamily	Diptera	TRUE	FALSE	TRUE	JohannsenOAOskarAugustus1934Ad					riparian											
FALSE	Euadmontia_pergandei	species	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					parasitic											
FALSE	Euaesthetus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Eubrychius	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
FALSE	Eulichadidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	larvae are aquatic			false water beetles												
FALSE	Euparyphus	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					overhanging water											
TRUE	Gabrius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Gabronthus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Galerucinae	subfamily	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous		some										
FALSE	Gauropterus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Gelastocoridae	family	Hemiptera	FALSE	TRUE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	fully aquatic													
FALSE	Geodromicus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Georissidae	family	Coleoptera	TRUE	FALSE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	riparian, egg laid in cases			riparian												
TRUE	Gerridae	family	Hemiptera	FALSE	TRUE	TRUE	choe1997evolution, williams1992aquatic, wichard2002biological		listed in table of aquatic insects	semiaquatic			eggs glued to underside of floating objects										
FALSE	Ginglymia_acrirostris	species	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					parasitic											
FALSE	Gnoriste_apicalis	species	Diptera	TRUE	FALSE	TRUE	JohannsenOAOskarAugustus1934Ad					near water											
FALSE	Gnypeta	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Gomphidae	family	Odonata	SOME	SOME	TRUE	wichard2002biological			eggs laid in or near water													
FALSE	Grypus	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
TRUE	Gyrinidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	eggs laid on submerged objects			true water beetles												
FALSE	Hadropinus_fossor	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Haematopota	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					overhanging water											
FALSE	Haliplidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	some eggs laid in aquatic plants, others on stems			true water beetles												
FALSE	Halmopota	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Halobrecta	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Hebridae	family	Hemiptera	FALSE	FALSE	FALSE	choe1997evolution, williams1992aquatic, wichard2002biological		listed in table of aquatic insects	semiaquatic			eggs inserted into plants (Hebrus, in our dataset)										
FALSE	Helophoridae	family	Coleoptera	FALSE	SOME	SOME	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	floating egg cases			true water beetles (few terrestrial)												
TRUE	Helotrephidae	family	Hemiptera	FALSE	TRUE	TRUE	choe1997evolution, williams1992aquatic		listed in table of aquatic insects				eggs glued to submerged plants										
FALSE	Hemerodromia	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
TRUE	Heteroceridae	family	Coleoptera	TRUE	FALSE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	adults and eggs in wet tunnels near water			riparian												
FALSE	Holorusia	genus	Diptera	FALSE	TRUE	TRUE	young2004insecta						aquatic										
FALSE	Hydraenidae	family	Coleoptera	FALSE	SOME	SOME	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	most aquatic, eggs laid in water, some terrestrial (Edaphaobates, Meropathus, Ochtheosus)			true water beetles (larvae not aquatic)												
TRUE	Hydrellia	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
FALSE	Hydrochidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	adults and larvae aquatic, eggs in cases			true water beetles												
TRUE	Hydrometridae	family	Hemiptera	FALSE	FALSE	FALSE	choe1997evolution, williams1992aquatic, wichard2002biological		listed in table of aquatic insects	semiaquatic			egg laid on elevated stalks of aquatic plants										
FALSE	Hydromyza	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
