in_egg_database	original_name	name	rank	order	parasitoid	internal	conflict_across_sources	references	eggleton1992insect	noyes1989chalcidoidea	pennacchio2006evolution	gauld1988evolutionary	noyes2003universal
TRUE	Monodontomerinae	Monodontomerinae	subfamily	Hymenoptera	SOME	FALSE	FALSE	noyes2003universal					many ectoparasitic
FALSE	Monodontomerus aereus	Monodontomerus_aereus	species	Hymenoptera	TRUE	TRUE	FALSE	noyes2003universal					all endoparasitic
TRUE	Mutillidae	Mutillidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
TRUE	Mymaridae	Mymaridae	family	Hymenoptera	TRUE	TRUE	TRUE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	some endoparasitic	all endoparasitic			all endoparasitic
FALSE	Nemestrinidae	Nemestrinidae	family	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Neoneurinae	Neoneurinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	eggleton1992insect	endoparasitic				
FALSE	Occuloxenium compitale	Occuloxenium_compitale	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Oidematops ferrigineus	Oidematops_ferrugineus	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Onesia	Onesia	genus	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Calliphora austalica	Onesia_australica	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Calliphora robusta	Onesia_robusta	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Opelousiia	Opelousia	genus	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Ophioninae	Ophioninae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Opiinae	Opiinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Orgilinae	Orgilinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Orussidae	Orussidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
